Modifier DEC,Key DEC,Glyph,Unicode DEC,Dead,Modifier HEX,Key HEX,Unicode HEX
0,4,a,97,FALSE,00,04,0061
0,5,b,98,FALSE,00,05,0062
0,6,c,99,FALSE,00,06,0063
0,7,d,100,FALSE,00,07,0064
0,8,e,101,FALSE,00,08,0065
0,9,f,102,FALSE,00,09,0066
0,10,g,103,FALSE,00,0A,0067
0,11,h,104,FALSE,00,0B,0068
0,12,i,105,FALSE,00,0C,0069
0,13,j,112,FALSE,00,0D,0070
0,14,k,113,FALSE,00,0E,0071
0,15,l,114,FALSE,00,0F,0072
0,16,m,115,FALSE,00,10,0073
0,17,n,116,FALSE,00,11,0074
0,18,o,117,FALSE,00,12,0075
0,19,p,118,FALSE,00,13,0076
0,20,q,119,FALSE,00,14,0077
0,21,r,120,FALSE,00,15,0078
0,22,s,121,FALSE,00,16,0079
0,23,t,128,FALSE,00,17,0080
0,24,u,129,FALSE,00,18,0081
0,25,v,130,FALSE,00,19,0082
0,26,w,131,FALSE,00,1A,0083
0,27,x,132,FALSE,00,1B,0084
0,28,y,133,FALSE,00,1C,0085
0,29,z,134,FALSE,00,1D,0086
0,30,1,49,FALSE,00,1E,0031
0,31,2,50,FALSE,00,1F,0032
0,32,3,51,FALSE,00,20,0033
0,33,4,52,FALSE,00,21,0034
0,34,5,53,FALSE,00,22,0035
0,35,6,54,FALSE,00,23,0036
0,36,7,55,FALSE,00,24,0037
0,37,8,56,FALSE,00,25,0038
0,38,9,57,FALSE,00,26,0039
0,39,0,48,FALSE,00,27,0030
0,43,TAB,9,FALSE,00,2B,0009
0,44,SPACE,32,FALSE,00,2C,0020
0,45,+,43,FALSE,00,2D,002B
0,46,´,180,TRUE,00,2E,00B4
0,47,å,229,FALSE,00,2F,00E5
0,48,¨,168,TRUE,00,30,00A8
0,49,',39,FALSE,00,31,0027
0,51,ö,246,FALSE,00,33,00F6
0,52,ä,228,FALSE,00,34,00E4
0,53,§,167,FALSE,00,35,00A7
0,54,",",44,FALSE,00,36,002C
0,55,.,46,FALSE,00,37,002E
0,56,-,45,FALSE,00,38,002D
0,100,<,60,FALSE,00,64,003C
2,4,A,65,FALSE,02,04,0041
2,5,B,66,FALSE,02,05,0042
2,6,C,67,FALSE,02,06,0043
2,7,D,68,FALSE,02,07,0044
2,8,E,69,FALSE,02,08,0045
2,9,F,70,FALSE,02,09,0046
2,10,G,71,FALSE,02,0A,0047
2,11,H,72,FALSE,02,0B,0048
2,12,I,73,FALSE,02,0C,0049
2,13,J,80,FALSE,02,0D,0050
2,14,K,81,FALSE,02,0E,0051
2,15,L,82,FALSE,02,0F,0052
2,16,M,83,FALSE,02,10,0053
2,17,N,84,FALSE,02,11,0054
2,18,O,85,FALSE,02,12,0055
2,19,P,86,FALSE,02,13,0056
2,20,Q,87,FALSE,02,14,0057
2,21,R,88,FALSE,02,15,0058
2,22,S,89,FALSE,02,16,0059
2,23,T,96,FALSE,02,17,0060
2,24,U,97,FALSE,02,18,0061
2,25,V,98,FALSE,02,19,0062
2,26,W,99,FALSE,02,1A,0063
2,27,X,100,FALSE,02,1B,0064
2,28,Y,101,FALSE,02,1C,0065
2,29,Z,102,FALSE,02,1D,0066
2,30,!,33,FALSE,02,1E,0021
2,31,“,34,FALSE,02,1F,0022
2,32,#,35,FALSE,02,20,0023
2,33,¤,164,FALSE,02,21,00A4
2,34,%,37,FALSE,02,22,0025
2,35,&,38,FALSE,02,23,0026
2,36,/,47,FALSE,02,24,002F
2,37,(,40,FALSE,02,25,0028
2,38,),41,FALSE,02,26,0029
2,39,=,61,FALSE,02,27,003D
2,45,?,63,FALSE,02,2D,003F
2,46,`,96,TRUE,02,2E,0060
2,47,Å,197,FALSE,02,2F,00C5
2,48,^,94,TRUE,02,30,005E
2,49,*,36,FALSE,02,31,0024
2,51,Ö,214,FALSE,02,33,00D6
2,52,Ä,196,FALSE,02,34,00C4
2,53,½,189,FALSE,02,35,00BD
2,54,;,59,FALSE,02,36,003B
2,55,:,58,FALSE,02,37,003A
2,56,_,95,FALSE,02,38,005F
2,100,>,62,FALSE,02,64,003E
64,30,¡,161,FALSE,40,1E,00A1
64,31,@,64,FALSE,40,1F,0040
64,32,£,35,FALSE,40,20,0023
64,33,$,36,FALSE,40,21,0024
64,34,€,8364,FALSE,40,22,20AC
64,35,¥,165,FALSE,40,23,00A5
64,36,{,123,FALSE,40,24,007B
64,37,[,91,FALSE,40,25,005B
64,38,],93,FALSE,40,26,005D
64,39,},125,FALSE,40,27,007D
64,45,\,92,FALSE,40,2D,005C
64,46,±,177,FALSE,40,2E,00B1
64,48,~,126,FALSE,40,30,007E
64,49,´,180,FALSE,40,31,00B4
64,53,¶,182,FALSE,40,35,00B6
64,100,|,124,TRUE,40,64,007C
